MsgID.GLOBAL_POSITION,0.0000000,-122.3974475,37.7924785,2.9640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,300.0450000,-0.1573391,0.2160386,-2.9692287
MsgID.LOCAL_VELOCITY,300.0450000,0.0000109,0.0000069,-0.0000188
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974472,37.7924789,2.9990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,300.2950000,-0.0966575,0.2491469,-3.0049005
MsgID.LOCAL_VELOCITY,300.2950000,0.0000009,0.0000079,-0.0000198
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924799,3.0470000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,300.5450000,-0.0147147,0.1547064,-3.0534520
MsgID.LOCAL_VELOCITY,300.5450000,0.0000270,-0.0000221,0.0000194
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924787,3.0900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,300.7950000,-0.1601983,0.0658944,-3.0966315
MsgID.LOCAL_VELOCITY,300.7950000,0.0000064,-0.0000016,-0.0000136
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924781,3.1340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,301.0460000,-0.1957518,0.1939173,-3.1387312
MsgID.LOCAL_VELOCITY,301.0460000,-0.0000010,-0.0000034,0.0000173
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974469,37.7924787,3.1610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,301.2960000,-0.1325709,0.2921083,-3.1641347
MsgID.LOCAL_VELOCITY,301.2960000,-0.0000182,-0.0000030,-0.0000110
MsgID.GLOBAL_POSITION,0.0000000,-122.3974458,37.7924796,3.1760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,301.5460000,-0.0282186,0.3575097,-3.1774759
MsgID.LOCAL_VELOCITY,301.5460000,-0.0000187,-0.0000070,-0.0000209
MsgID.GLOBAL_POSITION,0.0000000,-122.3974474,37.7924802,3.1760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,301.7960000,0.0255628,0.2070887,-3.1753676
MsgID.LOCAL_VELOCITY,301.7960000,-0.0000153,0.0000071,-0.0000164
MsgID.GLOBAL_POSITION,0.0000000,-122.3974477,37.7924796,3.1620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,302.0460000,-0.0325455,0.2043437,-3.1598139
MsgID.LOCAL_VELOCITY,302.0460000,0.0000044,-0.0000129,-0.0000202
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974475,37.7924797,3.1400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,302.2960000,-0.0425823,0.2159808,-3.1372921
MsgID.LOCAL_VELOCITY,302.2960000,-0.0000244,-0.0000214,0.0000196
MsgID.GLOBAL_POSITION,0.0000000,-122.3974474,37.7924777,3.1100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,302.5470000,-0.2675213,0.2319429,-3.1068387
MsgID.LOCAL_VELOCITY,302.5470000,-0.0000225,0.0000458,-0.0000171
MsgID.GLOBAL_POSITION,0.0000000,-122.3974472,37.7924777,3.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,302.7970000,-0.2324706,0.2303246,-3.0819767
MsgID.LOCAL_VELOCITY,302.7970000,-0.0000182,0.0000150,-0.0000193
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924785,3.0640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,303.0470000,-0.1573813,0.0674383,-3.0625622
MsgID.LOCAL_VELOCITY,303.0470000,-0.0000098,0.0000073,-0.0000098
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924783,3.0570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,303.2970000,-0.1909333,0.1553740,-3.0569670
MsgID.LOCAL_VELOCITY,303.2970000,-0.0000165,-0.0000019,-0.0000129
MsgID.GLOBAL_POSITION,0.0000000,-122.3974475,37.7924779,3.0630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,303.5470000,-0.2111267,0.2094727,-3.0648699
MsgID.LOCAL_VELOCITY,303.5470000,-0.0000045,-0.0000045,-0.0000078
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924791,3.0800000
